nome_coluna,chave,valor
v0657,9,Ignorado
v0658,9,Ignorado
v0659,9,Ignorado
v0667,9,Não sabe
v0670,9,Ignorado
v5090,9,Outro
v0615 ,9,Ignorado
v0502,10,Neto(a)
v0629,10,Especialização de nível superior (mínimo de 360 horas)
v0630,10,Curso não seriado
v0633,10,Regular ou supletivo do ensino médio ou do 2º grau
v0502,11,Bisneto(a)
v0629,11,Mestrado
v0633,11,Superior de graduação
v0502,12,Irmão ou irmã
v0629,12,Doutorado
v0633,12,Especialização de nível superior (mínimo de 360 horas)
v0502,13,Avô ou avó
v0633,13,Mestrado
v0502,14,Outro parente
v0633,14,Doutorado
v0502,15,Agregado(a)
